1362355200000,2.411,2.331,2.411,2.361,14145.0,14016.0
1362355200000,2.411,2.331,2.411,2.361,14145.0,14016.0
1362441600000,2.431,2.371,2.421,2.391,14288.0,14128.0
1362355200000,2.411,2.331,2.411,2.361,14145.0,14016.0
1362441600000,2.431,2.371,2.421,2.391,14288.0,14128.0
1362528000000,2.421,2.371,2.421,2.391,14322.0,14247.0
1362355200000,2.411,2.331,2.411,2.361,14145.0,14016.0
1362441600000,2.431,2.371,2.421,2.391,14288.0,14128.0
1362528000000,2.421,2.371,2.421,2.391,14322.0,14247.0
1362614400000,2.52,2.401,2.411,2.511,14355.0,14272.0
