1339997400000,12815.0,12810.0,12811.0,12811.0
1339998000000,12813.0,12802.0,12811.0,12803.0
1339998600000,12811.0,12803.0,12803.0,12811.0
1339999200000,12824.0,12809.0,12810.0,12812.0
1339999800000,12825.0,12811.0,12812.0,12822.0
1340000400000,12822.0,12813.0,12822.0,12813.0
1340001000000,12822.0,12812.0,12812.0,12818.0
1340001600000,12821.0,12806.0,12818.0,12814.0
1340002200000,12821.0,12814.0,12814.0,12817.0
1340002800000,12822.0,12808.0,12817.0,12818.0
1340003400000,12818.0,12805.0,12818.0,12810.0
1340004000000,12812.0,12796.0,12810.0,12803.0
1340004600000,12809.0,12790.0,12803.0,12795.0
1340005200000,12796.0,12776.0,12796.0,12776.0
1340005800000,12789.0,12773.0,12777.0,12780.0
1340006400000,12784.0,12755.0,12780.0,12755.0
1340007000000,12761.0,12749.0,12755.0,12751.0
1340007600000,12751.0,12719.0,12751.0,12728.0
1340008200000,12731.0,12712.0,12728.0,12717.0
1340008800000,12734.0,12717.0,12717.0,12733.0
1340009400000,12744.0,12729.0,12733.0,12743.0
1340010000000,12743.0,12727.0,12743.0,12730.0
1340010600000,12747.0,12729.0,12729.0,12742.0
1340011200000,12750.0,12735.0,12742.0,12741.0
1340011800000,12755.0,12741.0,12742.0,12749.0
1340012400000,12755.0,12741.0,12750.0,12749.0
1340013000000,12759.0,12743.0,12749.0,12754.0
1340013600000,12762.0,12749.0,12755.0,12760.0
1340014200000,12768.0,12758.0,12760.0,12759.0
1340014800000,12763.0,12753.0,12759.0,12762.0
1340015400000,12763.0,12743.0,12761.0,12749.0
1340016000000,12749.0,12734.0,12748.0,12747.0
1340016600000,12747.0,12736.0,12747.0,12745.0
1340017200000,12752.0,12734.0,12743.0,12744.0
1340017800000,12748.0,12733.0,12744.0,12745.0
1340018400000,12750.0,12740.0,12745.0,12746.0
1340019000000,12748.0,12739.0,12745.0,12744.0
1340019600000,12746.0,12724.0,12744.0,12731.0
1340020200000,12737.0,12726.0,12731.0,12726.0
1340020800000,12734.0,12723.0,12726.0,12728.0
1340021400000,12733.0,12721.0,12729.0,12724.0
1340022000000,12725.0,12712.0,12724.0,12717.0
1340022600000,12721.0,12707.0,12716.0,12709.0
1340023200000,12715.0,12700.0,12709.0,12705.0
1340023800000,12714.0,12705.0,12706.0,12707.0
1340024400000,12717.0,12704.0,12706.0,12715.0
1340025000000,12717.0,12702.0,12714.0,12710.0
1340025600000,12711.0,12701.0,12711.0,12705.0
1340026200000,12727.0,12693.0,12707.0,12725.0
1340026800000,12742.0,12720.0,12728.0,12720.0
1340027400000,12728.0,12711.0,12719.0,12726.0
1340028000000,12746.0,12715.0,12725.0,12738.0
1340028600000,12753.0,12728.0,12739.0,12753.0
1340029200000,12757.0,12746.0,12752.0,12753.0
1340029800000,12755.0,12745.0,12752.0,12751.0
1340030400000,12776.0,12750.0,12751.0,12774.0
1340031000000,12782.0,12746.0,12774.0,12752.0
1340031600000,12756.0,12733.0,12752.0,12735.0
1340032200000,12742.0,12726.0,12735.0,12730.0
1340032800000,12740.0,12724.0,12730.0,12739.0
1340033400000,12747.0,12729.0,12740.0,12729.0
1340034000000,12753.0,12728.0,12729.0,12742.0
1340034600000,12749.0,12728.0,12743.0,12749.0
1340035200000,12752.0,12734.0,12748.0,12738.0
1340035800000,12745.0,12733.0,12738.0,12744.0
1340036400000,12745.0,12735.0,12744.0,12735.0
1340037000000,12740.0,12725.0,12735.0,12729.0
1340037600000,12746.0,12728.0,12728.0,12745.0
1340038200000,12754.0,12732.0,12744.0,12737.0
1340038800000,12741.0,12729.0,12737.0,12739.0
1340039400000,12750.0,12737.0,12738.0,12748.0
1340040000000,12760.0,12747.0,12748.0,12756.0
1340040600000,12762.0,12752.0,12756.0,12758.0
1340041200000,12763.0,12752.0,12758.0,12752.0
1340041800000,12760.0,12750.0,12753.0,12757.0
1340042400000,12759.0,12750.0,12757.0,12753.0
1340043000000,12773.0,12753.0,12753.0,12770.0
1340043600000,12777.0,12763.0,12769.0,12765.0
1340044200000,12771.0,12764.0,12765.0,12768.0
1340044800000,12768.0,12747.0,12767.0,12749.0
1340045400000,12753.0,12744.0,12748.0,12748.0
1340046000000,12759.0,12747.0,12747.0,12752.0
1340046600000,12753.0,12723.0,12752.0,12732.0
1340047200000,12744.0,12729.0,12733.0,12741.0
1340047800000,12747.0,12726.0,12739.0,12739.0
1340048400000,12753.0,12735.0,12739.0,12742.0
1340049000000,12748.0,12729.0,12742.0,12742.0
1340049600000,12763.0,12740.0,12743.0,12759.0
1340050200000,12760.0,12752.0,12759.0,12756.0
1340051400000,12763.0,12752.0,12753.0,12762.0
1340052000000,12767.0,12761.0,12762.0,12767.0
1340052600000,12767.0,12762.0,12767.0,12764.0
1340053200000,12765.0,12764.0,12765.0,12765.0
1340053800000,12768.0,12765.0,12765.0,12767.0
1340054400000,12767.0,12758.0,12767.0,12758.0
1340056800000,12761.0,12756.0,12761.0,12757.0
1340057400000,12757.0,12754.0,12757.0,12754.0
1340058000000,12755.0,12753.0,12754.0,12754.0
1340058600000,12754.0,12751.0,12754.0,12752.0
1340059200000,12753.0,12751.0,12752.0,12752.0
1340059800000,12753.0,12752.0,12752.0,12752.0
1340060400000,12757.0,12752.0,12752.0,12756.0
1340061000000,12761.0,12756.0,12756.0,12761.0
1340061600000,12761.0,12760.0,12761.0,12760.0
1340062200000,12767.0,12760.0,12760.0,12767.0
1340062800000,12767.0,12764.0,12766.0,12766.0
1340063400000,12767.0,12762.0,12766.0,12765.0
1340064000000,12765.0,12760.0,12765.0,12760.0
