1362355200000,14145.0,14016.0,14074.0,14138.0,14145.0,14016.0
1362355200000,14145.0,14016.0,14074.0,14138.0,14145.0,14016.0
1362441600000,14288.0,14128.0,14138.0,14259.0,14288.0,14128.0
1362355200000,14145.0,14016.0,14074.0,14138.0,14145.0,14016.0
1362441600000,14288.0,14128.0,14138.0,14259.0,14288.0,14128.0
1362528000000,14322.0,14247.0,14259.0,14285.0,14322.0,14247.0
1362355200000,14145.0,14016.0,14074.0,14138.0,14145.0,14016.0
1362441600000,14288.0,14128.0,14138.0,14259.0,14288.0,14128.0
1362528000000,14322.0,14247.0,14259.0,14285.0,14322.0,14247.0
1362614400000,14355.0,14272.0,14285.0,14341.0,14355.0,14272.0
